t,ia,ifd,wm,Te,Ea
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000
0.0100,23.844783,0.688658,-0.117659,0.065684,-0.000324
0.0200,47.382204,1.320801,-0.229286,0.250330,-0.001211
0.0300,70.616717,1.901067,-0.329628,0.536988,-0.002507
0.0400,93.552554,2.433713,-0.414192,0.910720,-0.004032
0.0500,116.193707,2.922648,-0.479149,1.358373,-0.005602
0.0600,138.543934,3.371459,-0.521262,1.868381,-0.007030
0.0700,160.606763,3.783437,-0.537809,2.430583,-0.008139
0.0800,182.385506,4.161607,-0.526520,3.036067,-0.008765
0.0900,203.883275,4.508742,-0.485525,3.677029,-0.008756
0.1000,225.103002,4.827390,-0.413301,4.346640,-0.007981
0.1100,246.047456,5.119888,-0.308628,5.038941,-0.006321
0.1200,266.719262,5.388382,-0.170553,5.748741,-0.003676
0.1300,287.120922,5.634842,0.001648,6.471524,0.000037
0.1400,307.254825,5.861076,0.208498,7.203375,0.004888
0.1500,327.123272,6.068744,0.450345,7.940910,0.010932
0.1600,346.728484,6.259370,0.727390,8.681207,0.018212
0.1700,366.072617,6.434352,1.039702,9.421761,0.026759
0.1800,385.157770,6.594975,1.387241,10.160423,0.036595
0.1900,403.986003,6.742415,1.769873,10.895366,0.047733
0.2000,422.559337,6.877756,2.187383,11.625041,0.060177
0.2100,440.879767,7.001991,2.639487,12.348144,0.073927
0.2200,458.949265,7.116030,3.125846,13.063587,0.088974
0.2300,476.769787,7.220710,3.646073,13.770466,0.105309
0.2400,494.343279,7.316800,4.199742,14.468044,0.122915
0.2500,511.671677,7.405004,4.786396,15.155724,0.141773
0.2600,528.756912,7.485970,5.405551,15.833033,0.161863
0.2700,545.600913,7.560291,6.056704,16.499607,0.183162
0.2800,562.205607,7.628513,6.739338,17.155172,0.205645
0.2900,578.572921,7.691137,7.452923,17.799534,0.229286
0.3000,594.704783,7.748621,8.196922,18.432568,0.254059
0.3100,610.603121,7.801388,8.970795,19.054207,0.279939
0.3200,626.269868,7.849824,9.773998,19.664434,0.306897
0.3300,641.706956,7.894286,10.605988,20.263272,0.334907
0.3400,656.916319,7.935099,11.466224,20.850783,0.363942
0.3500,671.899892,7.972562,12.354169,21.427054,0.393978
0.3600,686.659612,8.006951,13.269289,21.992200,0.424986
0.3700,701.197415,8.038518,14.211060,22.546352,0.456943
0.3800,715.515238,8.067494,15.178959,23.089661,0.489825
0.3900,729.615014,8.094093,16.172475,23.622287,0.523606
0.4000,743.498679,8.118508,17.191103,24.144401,0.558264
0.4100,757.168163,8.140920,18.234348,24.656183,0.593777
0.4200,770.625394,8.161493,19.301720,25.157815,0.630123
0.4300,783.872297,8.180378,20.392741,25.649485,0.667281
0.4400,796.910791,8.197712,21.506942,26.131381,0.705231
0.4500,809.742792,8.213624,22.643861,26.603692,0.743953
0.4600,822.370209,8.228231,23.803047,27.066607,0.783428
0.4700,834.794944,8.241638,24.984056,27.520312,0.823638
0.4800,847.018894,8.253946,26.186455,27.964991,0.864566
0.4900,859.043948,8.265243,27.409817,28.400827,0.906195
0.5000,870.871987,8.275613,28.653727,28.827998,0.948509
0.5100,882.504882,8.285132,29.917775,29.246678,0.991491
0.5200,893.944498,8.293870,31.201561,29.657038,1.035127
0.5300,905.192688,8.301891,32.504693,30.059244,1.079402
0.5400,916.251298,8.309254,33.826787,30.453458,1.124301
0.5500,927.122162,8.316012,35.167466,30.839837,1.169812
0.5600,937.807104,8.322216,36.526360,31.218533,1.215921
0.5700,948.307938,8.327911,37.903108,31.589695,1.262615
0.5800,958.626467,8.333138,39.297353,31.953467,1.309881
0.5900,968.764483,8.337936,40.708747,32.309986,1.357708
0.6000,978.723766,8.342341,42.136949,32.659390,1.406083
0.6100,988.506086,8.346384,43.581622,33.001806,1.454996
0.6200,998.113200,8.350095,45.042436,33.337362,1.504435
0.6300,1007.546854,8.353502,46.519068,33.666179,1.554389
0.6400,1016.808781,8.356629,48.011201,33.988377,1.604847
0.6500,1025.900703,8.359500,49.518520,34.304067,1.655800
0.6600,1034.824330,8.362135,51.040719,34.613363,1.707238
0.6700,1043.581359,8.364554,52.577497,34.916369,1.759149
0.6800,1052.173476,8.366774,54.128556,35.213190,1.811526
0.6900,1060.602353,8.368812,55.693603,35.503927,1.864357
0.7000,1068.869652,8.370683,57.272353,35.788675,1.917635
0.7100,1076.977020,8.372400,58.864521,36.067530,1.971349
0.7200,1084.926094,8.373976,60.469829,36.340582,2.025492
0.7300,1092.718498,8.375423,62.088003,36.607920,2.080053
0.7400,1100.355842,8.376752,63.718773,36.869630,2.135025
0.7500,1107.839726,8.377971,65.361873,37.125795,2.190399
0.7600,1115.171737,8.379090,67.017041,37.376497,2.246167
0.7700,1122.353449,8.380117,68.684019,37.621814,2.302321
0.7800,1129.386425,8.381060,70.362551,37.861823,2.358851
0.7900,1136.272214,8.381926,72.052388,38.096598,2.415751
0.8000,1143.012356,8.382721,73.753281,38.326212,2.473013
0.8100,1149.608375,8.383450,75.464986,38.550737,2.530628
0.8200,1156.061785,8.384119,77.187264,38.770240,2.588589
0.8300,1162.374089,8.384734,78.919875,38.984790,2.646889
0.8400,1168.546776,8.385298,80.662587,39.194453,2.705519
0.8500,1174.581325,8.385816,82.415167,39.399291,2.764474
0.8600,1180.479201,8.386291,84.177388,39.599370,2.823744
0.8700,1186.241860,8.386728,85.949024,39.794750,2.883324
0.8800,1191.870743,8.387128,87.729853,39.985491,2.943206
0.8900,1197.367283,8.387496,89.519655,40.171653,3.003383
0.9000,1202.732899,8.387833,91.318215,40.353293,3.063848
0.9100,1207.969000,8.388143,93.125317,40.530468,3.124594
0.9200,1213.076981,8.388428,94.940751,40.703234,3.185614
0.9300,1218.058229,8.388689,96.764308,40.871645,3.246903
0.9400,1222.914118,8.388928,98.595782,41.035755,3.308452
0.9500,1227.646011,8.389148,100.434969,41.195617,3.370255
0.9600,1232.255260,8.389350,102.281669,41.351283,3.432307
0.9700,1236.743206,8.389535,104.135682,41.502804,3.494600
0.9800,1241.111178,8.389706,105.996813,41.650229,3.557128
0.9900,1245.360497,8.389862,107.864867,41.793609,3.619885
1.0000,1249.492469,8.390005,109.739653,41.932992,3.682865
1.0100,1253.508393,8.390137,111.620983,42.068427,3.746061
1.0200,1257.409556,8.390257,113.508668,42.199959,3.809468
1.0300,1261.197233,8.390368,115.402525,42.327637,3.873079
1.0400,1264.872690,8.390470,117.302371,42.451506,3.936888
1.0500,1268.437183,8.390563,119.208025,42.571611,4.000890
1.0600,1271.891957,8.390649,121.119310,42.687997,4.065079
1.0700,1275.238245,8.390728,123.036050,42.800709,4.129448
1.0800,1278.477273,8.390800,124.958069,42.909789,4.193993
1.0900,1281.610254,8.390866,126.885198,43.015282,4.258707
1.1000,1284.638392,8.390927,128.817265,43.117230,4.323585
1.1100,1287.562881,8.390983,130.754103,43.215674,4.388622
1.1200,1290.384906,8.391035,132.695547,43.310657,4.453812
1.1300,1293.105640,8.391082,134.641431,43.402220,4.519149
1.1400,1295.726248,8.391125,136.591595,43.490403,4.584629
1.1500,1298.247884,8.391165,138.545879,43.575247,4.650245
1.1600,1300.671693,8.391201,140.504124,43.656790,4.715993
1.1700,1302.998810,8.391234,142.466174,43.735074,4.781868
1.1800,1305.230361,8.391265,144.431875,43.810136,4.847865
1.1900,1307.367462,8.391293,146.401074,43.882015,4.913977
1.2000,1309.411219,8.391319,148.373621,43.950750,4.980202
1.2100,1311.362731,8.391343,150.349367,44.016377,5.046532
1.2200,1313.223085,8.391365,152.328164,44.078935,5.112965
1.2300,1314.993359,8.391385,154.309868,44.138460,5.179494
1.2400,1316.674625,8.391403,156.294335,44.194990,5.246115
1.2500,1318.267941,8.391420,158.281423,44.248559,5.312824
1.2600,1319.774360,8.391435,160.270992,44.299205,5.379615
1.2700,1321.194925,8.391450,162.262904,44.346962,5.446484
1.2800,1322.530667,8.391463,164.257022,44.391866,5.513427
1.2900,1323.782614,8.391475,166.253211,44.433952,5.580438
1.3000,1324.951780,8.391486,168.251337,44.473255,5.647515
1.3100,1326.039173,8.391496,170.251270,44.509808,5.714651
1.3200,1327.045791,8.391505,172.252878,44.543645,5.781843
1.3300,1327.972624,8.391513,174.256033,44.574800,5.849087
1.3400,1328.820654,8.391521,176.260608,44.603307,5.916378
1.3500,1329.590853,8.391528,178.266478,44.629197,5.983713
1.3600,1330.284187,8.391535,180.273520,44.652505,6.051086
1.3700,1330.901610,8.391541,182.281610,44.673261,6.118494
1.3800,1331.444072,8.391546,184.290629,44.691499,6.185934
1.3900,1331.912510,8.391552,186.300456,44.707250,6.253400
1.4000,1332.307857,8.391556,188.310975,44.720545,6.320889
1.4100,1332.631036,8.391561,190.322069,44.731416,6.388397
1.4200,1332.882962,8.391564,192.333624,44.739893,6.455920
